CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
California,EIP,2022-23,2022,40,Overall,Overall,Black,0,0
California,EIP,2022-23,2022,40,Overall,Overall,Hispanic/Latino,0,0
California,EIP,2022-23,2022,40,Overall,Overall,Asian/Pacific Islander,0.1,0.1
California,EIP,2022-23,2022,40,Overall,Female,Overall,0.2,0.2
California,EIP,2022-23,2022,40,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2022-23,2022,40,Overall,Male,Overall,0.1,0.1
California,EIP,2022-23,2022,40,Overall,Overall,Overall,0.1,0.1
Colorado,EIP,2022-23,2022,40,Overall,Overall,White,0.1,0.1
Colorado,EIP,2022-23,2022,40,Overall,Overall,Black,0.5,0.5
Colorado,EIP,2022-23,2022,40,Overall,Overall,Hispanic/Latino,0,0
Colorado,EIP,2022-23,2022,40,Overall,Overall,Asian/Pacific Islander,0,0
Colorado,EIP,2022-23,2022,40,Overall,Overall,American Indian/Alaska Native,0,0
Colorado,EIP,2022-23,2022,40,Overall,Female,Overall,0,0
Colorado,EIP,2022-23,2022,40,Overall,Male,Overall,0.1,0.1
New York - Rochester,EIP,2022-23,2022,40,Overall,Female,Overall,0.2,0.2
New York - Rochester,EIP,2022-23,2022,40,Overall,Overall,Overall,0.1,0.1
Ohio,IHSP,2022-23,2022,40,Overall,Overall,White,0.1,0.1
Ohio,IHSP,2022-23,2022,40,Overall,Overall,Black,0,0
Ohio,IHSP,2022-23,2022,40,Overall,Overall,Hispanic/Latino,0,0
Ohio,IHSP,2022-23,2022,40,Overall,Overall,Asian/Pacific Islander,0,0
Ohio,IHSP,2022-23,2022,40,Overall,Female,Overall,0.1,0.1
Ohio,IHSP,2022-23,2022,40,Overall,Overall,American Indian/Alaska Native,0,0
Ohio,IHSP,2022-23,2022,40,Overall,Male,Overall,0,0
Ohio,IHSP,2022-23,2022,40,Overall,Overall,Overall,0,0
Oregon,EIP,2022-23,2022,40,Overall,Overall,White,0,0
Oregon,EIP,2022-23,2022,40,Overall,Overall,Black,0,0
Oregon,EIP,2022-23,2022,40,Overall,Overall,Hispanic/Latino,0.4,0.4
Oregon,EIP,2022-23,2022,40,Overall,Female,Overall,0,0
Oregon,EIP,2022-23,2022,40,Overall,Overall,Asian/Pacific Islander,0,0
