location,date,inc
01,2022-09-03,23
01,2022-09-10,10
01,2022-09-17,17
01,2022-09-24,19
01,2022-10-01,23
01,2022-10-08,38
01,2022-10-15,81
01,2022-10-22,130
01,2022-10-29,249
01,2022-11-05,350
01,2022-11-12,312
01,2022-11-19,236
01,2022-11-26,237
01,2022-12-03,360
01,2022-12-10,234
01,2022-12-17,153
01,2022-12-24,153
01,2022-12-31,148
01,2023-01-07,125
01,2023-01-14,100
01,2023-01-21,57
01,2023-01-28,42
01,2023-02-04,36
01,2023-02-11,29
01,2023-02-18,30
01,2023-02-25,31
01,2023-03-04,16
01,2023-03-11,17
01,2023-03-18,22
01,2023-03-25,20
01,2023-04-01,27
01,2023-04-08,17
01,2023-04-15,16
01,2023-04-22,20
01,2023-04-29,13
01,2023-05-06,5
01,2023-05-13,14
01,2023-05-20,11
01,2023-05-27,11
01,2023-06-03,25
01,2023-06-10,14
01,2023-06-17,5
01,2023-06-24,11
01,2023-07-01,11
01,2023-07-08,3
01,2023-07-15,14
01,2023-07-22,15
01,2023-07-29,32
01,2023-08-05,13
01,2023-08-12,9
01,2023-08-19,9
01,2023-08-26,12
01,2023-09-02,12
01,2023-09-09,5
01,2023-09-16,20
01,2023-09-23,11
01,2023-09-30,23
01,2023-10-07,20
01,2023-10-14,26
01,2023-10-21,30
01,2023-10-28,32
01,2023-11-04,37
01,2023-11-11,59
02,2022-09-03,0
02,2022-09-10,5
02,2022-09-17,0
02,2022-09-24,0
02,2022-10-01,2
02,2022-10-08,0
02,2022-10-15,5
02,2022-10-22,1
02,2022-10-29,11
02,2022-11-05,15
02,2022-11-12,14
02,2022-11-19,38
02,2022-11-26,69
02,2022-12-03,53
02,2022-12-10,73
02,2022-12-17,51
02,2022-12-24,43
02,2022-12-31,43
02,2023-01-07,32
02,2023-01-14,7
02,2023-01-21,7
02,2023-01-28,5
02,2023-02-04,3
02,2023-02-11,1
02,2023-02-18,2
02,2023-02-25,5
02,2023-03-04,2
02,2023-03-11,4
02,2023-03-18,1
02,2023-03-25,3
02,2023-04-01,1
02,2023-04-08,2
02,2023-04-15,2
02,2023-04-22,1
02,2023-04-29,0
02,2023-05-06,5
02,2023-05-13,1
02,2023-05-20,0
02,2023-05-27,0
02,2023-06-03,3
02,2023-06-10,2
02,2023-06-17,6
02,2023-06-24,0
02,2023-07-01,4
02,2023-07-08,2
02,2023-07-15,2
02,2023-07-22,1
02,2023-07-29,0
02,2023-08-05,2
02,2023-08-12,1
02,2023-08-19,2
02,2023-08-26,0
02,2023-09-02,2
02,2023-09-09,2
02,2023-09-16,5
02,2023-09-23,6
02,2023-09-30,7
02,2023-10-07,10
02,2023-10-14,14
02,2023-10-21,21
02,2023-10-28,30
02,2023-11-04,33
02,2023-11-11,39
04,2022-09-03,17
04,2022-09-10,5
04,2022-09-17,7
04,2022-09-24,9
04,2022-10-01,10
04,2022-10-08,18
04,2022-10-15,11
04,2022-10-22,24
04,2022-10-29,29
04,2022-11-05,79
04,2022-11-12,136
04,2022-11-19,313
04,2022-11-26,577
04,2022-12-03,803
04,2022-12-10,784
04,2022-12-17,581
04,2022-12-24,587
04,2022-12-31,664
04,2023-01-07,388
04,2023-01-14,164
04,2023-01-21,119
04,2023-01-28,52
04,2023-02-04,63
04,2023-02-11,62
04,2023-02-18,38
04,2023-02-25,45
04,2023-03-04,50
04,2023-03-11,43
04,2023-03-18,55
04,2023-03-25,37
04,2023-04-01,26
04,2023-04-08,42
04,2023-04-15,47
04,2023-04-22,37
04,2023-04-29,42
04,2023-05-06,35
04,2023-05-13,55
04,2023-05-20,55
04,2023-05-27,66
04,2023-06-03,66
04,2023-06-10,61
04,2023-06-17,50
04,2023-06-24,48
04,2023-07-01,29
04,2023-07-08,34
04,2023-07-15,28
04,2023-07-22,13
04,2023-07-29,17
04,2023-08-05,11
04,2023-08-12,9
04,2023-08-19,6
04,2023-08-26,17
04,2023-09-02,13
04,2023-09-09,8
04,2023-09-16,10
04,2023-09-23,9
04,2023-09-30,21
04,2023-10-07,16
04,2023-10-14,21
04,2023-10-21,52
04,2023-10-28,49
04,2023-11-04,51
04,2023-11-11,132
05,2022-09-03,7
05,2022-09-10,6
05,2022-09-17,5
05,2022-09-24,7
05,2022-10-01,10
05,2022-10-08,22
05,2022-10-15,37
05,2022-10-22,47
05,2022-10-29,77
05,2022-11-05,134
05,2022-11-12,203
05,2022-11-19,214
05,2022-11-26,407
05,2022-12-03,466
05,2022-12-10,346
05,2022-12-17,251
05,2022-12-24,202
05,2022-12-31,204
05,2023-01-07,160
05,2023-01-14,105
05,2023-01-21,65
05,2023-01-28,35
05,2023-02-04,20
05,2023-02-11,33
05,2023-02-18,25
05,2023-02-25,30
05,2023-03-04,33
05,2023-03-11,23
05,2023-03-18,15
05,2023-03-25,18
05,2023-04-01,27
05,2023-04-08,16
05,2023-04-15,17
05,2023-04-22,8
05,2023-04-29,11
05,2023-05-06,9
05,2023-05-13,12
05,2023-05-20,9
05,2023-05-27,14
05,2023-06-03,6
05,2023-06-10,1
05,2023-06-17,5
05,2023-06-24,14
05,2023-07-01,6
05,2023-07-08,4
05,2023-07-15,8
05,2023-07-22,6
05,2023-07-29,5
05,2023-08-05,11
05,2023-08-12,10
05,2023-08-19,7
05,2023-08-26,9
05,2023-09-02,6
05,2023-09-09,8
05,2023-09-16,7
05,2023-09-23,6
05,2023-09-30,10
05,2023-10-07,17
05,2023-10-14,15
05,2023-10-21,18
05,2023-10-28,12
05,2023-11-04,18
05,2023-11-11,22
06,2022-09-03,33
06,2022-09-10,37
06,2022-09-17,21
06,2022-09-24,35
06,2022-10-01,68
06,2022-10-08,92
06,2022-10-15,87
06,2022-10-22,121
06,2022-10-29,199
06,2022-11-05,416
06,2022-11-12,858
06,2022-11-19,1499
06,2022-11-26,2631
06,2022-12-03,3160
06,2022-12-10,2406
06,2022-12-17,1635
06,2022-12-24,1600
06,2022-12-31,1420
06,2023-01-07,916
06,2023-01-14,412
06,2023-01-21,208
06,2023-01-28,127
06,2023-02-04,115
06,2023-02-11,93
06,2023-02-18,73
06,2023-02-25,79
06,2023-03-04,62
06,2023-03-11,47
06,2023-03-18,60
06,2023-03-25,36
06,2023-04-01,29
06,2023-04-08,45
06,2023-04-15,34
06,2023-04-22,37
06,2023-04-29,25
06,2023-05-06,22
06,2023-05-13,35
06,2023-05-20,25
06,2023-05-27,26
06,2023-06-03,49
06,2023-06-10,43
06,2023-06-17,36
06,2023-06-24,27
06,2023-07-01,49
06,2023-07-08,26
06,2023-07-15,53
06,2023-07-22,30
06,2023-07-29,37
06,2023-08-05,43
06,2023-08-12,35
06,2023-08-19,31
06,2023-08-26,29
06,2023-09-02,38
06,2023-09-09,42
06,2023-09-16,41
06,2023-09-23,51
06,2023-09-30,47
06,2023-10-07,45
06,2023-10-14,61
06,2023-10-21,51
06,2023-10-28,76
06,2023-11-04,100
06,2023-11-11,227
08,2022-09-03,1
08,2022-09-10,2
08,2022-09-17,3
08,2022-09-24,4
08,2022-10-01,3
08,2022-10-08,2
08,2022-10-15,3
08,2022-10-22,14
08,2022-10-29,27
08,2022-11-05,35
08,2022-11-12,58
08,2022-11-19,107
08,2022-11-26,148
08,2022-12-03,164
08,2022-12-10,237
08,2022-12-17,254
08,2022-12-24,342
08,2022-12-31,315
08,2023-01-07,158
08,2023-01-14,99
08,2023-01-21,37
08,2023-01-28,26
08,2023-02-04,38
08,2023-02-11,27
08,2023-02-18,17
08,2023-02-25,13
