location,date,inc
01,2020-01-04,NA
01,2020-01-11,NA
01,2020-01-18,NA
01,2020-01-25,NA
01,2020-02-01,NA
01,2020-02-08,NA
01,2020-02-15,NA
01,2020-02-22,NA
01,2020-02-29,NA
01,2020-03-07,NA
01,2020-03-14,NA
01,2020-03-21,NA
01,2020-03-28,NA
01,2020-04-04,NA
01,2020-04-11,NA
01,2020-04-18,NA
01,2020-04-25,NA
01,2020-05-02,NA
01,2020-05-09,NA
01,2020-05-16,NA
01,2020-05-23,NA
01,2020-05-30,NA
01,2020-06-06,NA
01,2020-06-13,NA
01,2020-06-20,NA
01,2020-06-27,NA
01,2020-07-04,NA
01,2020-07-11,NA
01,2020-07-18,NA
01,2020-07-25,NA
01,2020-08-01,NA
01,2020-08-08,NA
01,2020-08-15,NA
01,2020-08-22,NA
01,2020-08-29,NA
01,2020-09-05,NA
01,2020-09-12,NA
01,2020-09-19,NA
01,2020-09-26,NA
01,2020-10-03,NA
01,2020-10-10,NA
01,2020-10-17,NA
01,2020-10-24,NA
01,2020-10-31,13
01,2020-11-07,16
01,2020-11-14,21
01,2020-11-21,10
01,2020-11-28,14
01,2020-12-05,11
01,2020-12-12,3
01,2020-12-19,34
01,2020-12-26,30
01,2021-01-02,26
01,2021-01-09,38
01,2021-01-16,39
01,2021-01-23,38
01,2021-01-30,45
01,2021-02-06,33
01,2021-02-13,24
01,2021-02-20,21
01,2021-02-27,35
01,2021-03-06,24
01,2021-03-13,18
01,2021-03-20,25
01,2021-03-27,16
01,2021-04-03,12
01,2021-04-10,18
01,2021-04-17,19
01,2021-04-24,30
01,2021-05-01,21
01,2021-05-08,11
01,2021-05-15,16
01,2021-05-22,17
01,2021-05-29,16
01,2021-06-05,17
01,2021-06-12,20
01,2021-06-19,20
01,2021-06-26,14
01,2021-07-03,19
01,2021-07-10,11
01,2021-07-17,21
01,2021-07-24,18
01,2021-07-31,34
01,2021-08-07,21
01,2021-08-14,18
01,2021-08-21,24
01,2021-08-28,25
01,2021-09-04,31
01,2021-09-11,25
01,2021-09-18,24
01,2021-09-25,22
01,2021-10-02,10
01,2021-10-09,18
01,2021-10-16,12
01,2021-10-23,8
01,2021-10-30,14
01,2021-11-06,10
01,2021-11-13,22
01,2021-11-20,29
01,2021-11-27,19
01,2021-12-04,32
01,2021-12-11,21
01,2021-12-18,31
01,2021-12-25,24
01,2022-01-01,54
01,2022-01-08,34
01,2022-01-15,29
01,2022-01-22,23
01,2022-01-29,20
01,2022-02-05,17
01,2022-02-12,10
01,2022-02-19,22
01,2022-02-26,13
01,2022-03-05,31
01,2022-03-12,36
01,2022-03-19,27
01,2022-03-26,27
01,2022-04-02,32
01,2022-04-09,28
01,2022-04-16,19
01,2022-04-23,29
01,2022-04-30,16
01,2022-05-07,22
01,2022-05-14,15
01,2022-05-21,14
01,2022-05-28,20
01,2022-06-04,19
01,2022-06-11,19
01,2022-06-18,17
01,2022-06-25,15
01,2022-07-02,8
01,2022-07-09,25
01,2022-07-16,22
01,2022-07-23,11
01,2022-07-30,16
01,2022-08-06,15
01,2022-08-13,16
01,2022-08-20,12
01,2022-08-27,19
01,2022-09-03,23
01,2022-09-10,10
01,2022-09-17,17
01,2022-09-24,19
01,2022-10-01,23
01,2022-10-08,38
01,2022-10-15,81
01,2022-10-22,130
01,2022-10-29,249
01,2022-11-05,350
01,2022-11-12,312
01,2022-11-19,236
01,2022-11-26,237
01,2022-12-03,360
01,2022-12-10,234
01,2022-12-17,153
01,2022-12-24,153
01,2022-12-31,148
01,2023-01-07,125
01,2023-01-14,99
01,2023-01-21,57
01,2023-01-28,42
01,2023-02-04,36
01,2023-02-11,29
01,2023-02-18,30
01,2023-02-25,31
01,2023-03-04,16
01,2023-03-11,17
01,2023-03-18,22
01,2023-03-25,20
01,2023-04-01,27
01,2023-04-08,17
01,2023-04-15,16
01,2023-04-22,20
01,2023-04-29,13
01,2023-05-06,5
