"","state","week_group","week_date","confirmed_influenza","confirmed_influenza_and_covid","state_2023_estimate","state_2023","state_full"
"1","AK",13,2020-03-29,0,0,"733,406",733406,"Alaska"
"2","AK",14,2020-04-05,0,0,"733,406",733406,"Alaska"
"3","AK",15,2020-04-12,0,0,"733,406",733406,"Alaska"
"4","AK",16,2020-04-19,0,0,"733,406",733406,"Alaska"
"5","AK",17,2020-04-26,0,0,"733,406",733406,"Alaska"
"6","AK",18,2020-05-03,0,0,"733,406",733406,"Alaska"
"7","AK",19,2020-05-10,0,0,"733,406",733406,"Alaska"
"8","AK",20,2020-05-17,0,0,"733,406",733406,"Alaska"
"9","AK",21,2020-05-24,0,0,"733,406",733406,"Alaska"
"10","AK",22,2020-05-31,0,0,"733,406",733406,"Alaska"
"11","AK",23,2020-06-07,0,0,"733,406",733406,"Alaska"
"12","AK",24,2020-06-14,0,0,"733,406",733406,"Alaska"
"13","AK",25,2020-06-21,0,0,"733,406",733406,"Alaska"
"14","AK",26,2020-06-28,0,0,"733,406",733406,"Alaska"
"15","AK",27,2020-07-05,0,0,"733,406",733406,"Alaska"
"16","AK",28,2020-07-12,0,0,"733,406",733406,"Alaska"
"17","AK",29,2020-07-19,0,0,"733,406",733406,"Alaska"
"18","AK",30,2020-07-26,0,0,"733,406",733406,"Alaska"
"19","AK",31,2020-08-02,0,0,"733,406",733406,"Alaska"
"20","AK",32,2020-08-09,0,0,"733,406",733406,"Alaska"
"21","AK",33,2020-08-16,0,0,"733,406",733406,"Alaska"
"22","AK",34,2020-08-23,0,0,"733,406",733406,"Alaska"
"23","AK",35,2020-08-30,0,0,"733,406",733406,"Alaska"
"24","AK",36,2020-09-06,0,0,"733,406",733406,"Alaska"
"25","AK",37,2020-09-13,0,0,"733,406",733406,"Alaska"
"26","AK",38,2020-09-20,0,0,"733,406",733406,"Alaska"
"27","AK",39,2020-09-27,0,0,"733,406",733406,"Alaska"
"28","AK",40,2020-10-04,0,0,"733,406",733406,"Alaska"
"29","AK",41,2020-10-11,0,0,"733,406",733406,"Alaska"
"30","AK",42,2020-10-18,0,0,"733,406",733406,"Alaska"
"31","AK",43,2020-10-25,0,0,"733,406",733406,"Alaska"
"32","AK",44,2020-11-01,0,0,"733,406",733406,"Alaska"
"33","AK",45,2020-11-08,0,8,"733,406",733406,"Alaska"
"34","AK",46,2020-11-15,0,2,"733,406",733406,"Alaska"
"35","AK",47,2020-11-22,0,0,"733,406",733406,"Alaska"
"36","AK",48,2020-11-29,0,0,"733,406",733406,"Alaska"
"37","AK",49,2020-12-06,1,0,"733,406",733406,"Alaska"
"38","AK",50,2020-12-13,5,5,"733,406",733406,"Alaska"
"39","AK",51,2020-12-20,7,7,"733,406",733406,"Alaska"
"40","AK",52,2020-12-27,1,0,"733,406",733406,"Alaska"
"41","AK",53,2021-01-03,0,0,"733,406",733406,"Alaska"
"42","AK",54,2021-01-10,0,0,"733,406",733406,"Alaska"
"43","AK",55,2021-01-17,0,0,"733,406",733406,"Alaska"
"44","AK",56,2021-01-24,0,0,"733,406",733406,"Alaska"
"45","AK",57,2021-01-31,0,0,"733,406",733406,"Alaska"
"46","AK",58,2021-02-07,0,0,"733,406",733406,"Alaska"
"47","AK",59,2021-02-14,0,0,"733,406",733406,"Alaska"
"48","AK",60,2021-02-21,0,0,"733,406",733406,"Alaska"
"49","AK",61,2021-02-28,0,0,"733,406",733406,"Alaska"
"50","AK",62,2021-03-07,0,0,"733,406",733406,"Alaska"
"51","AK",63,2021-03-14,0,0,"733,406",733406,"Alaska"
"52","AK",64,2021-03-21,0,0,"733,406",733406,"Alaska"
"53","AK",65,2021-03-28,0,0,"733,406",733406,"Alaska"
"54","AK",66,2021-04-04,0,0,"733,406",733406,"Alaska"
"55","AK",67,2021-04-11,0,1,"733,406",733406,"Alaska"
"56","AK",68,2021-04-18,5,7,"733,406",733406,"Alaska"
"57","AK",69,2021-04-25,7,7,"733,406",733406,"Alaska"
"58","AK",70,2021-05-02,7,7,"733,406",733406,"Alaska"
"59","AK",71,2021-05-09,7,7,"733,406",733406,"Alaska"
"60","AK",72,2021-05-16,7,7,"733,406",733406,"Alaska"
"61","AK",73,2021-05-23,7,7,"733,406",733406,"Alaska"
"62","AK",74,2021-05-30,9,7,"733,406",733406,"Alaska"
"63","AK",75,2021-06-06,7,7,"733,406",733406,"Alaska"
"64","AK",76,2021-06-13,7,7,"733,406",733406,"Alaska"
