SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
010,0,0,00,United States,331449520,331511512,332031554,333287557,61992,520042,1256003,894123,3582436,3688179,852024,3438423,3443099,42099,144013,245080,19893,376029,1010923,0,0,0,19893,376029,1010923,0,0,0,10.797900494,11.086947418,10.363827689,10.350218243,0.4340728052,0.7367291754,1.1333974214,3.0389116539,0,0,1.1333974214,3.0389116539
020,1,0,00,Northeast Region,57609156,57448898,57259257,57040406,-160258,-189641,-218851,146120,572782,593222,192891,560931,564007,-46771,11851,29215,4429,80451,214464,-113328,-278474,-460736,-108899,-198023,-246272,-4588,-3469,-1794,9.986770339,10.380118094,9.7801416124,9.8689179862,0.2066287266,0.5112001074,1.402707593,3.7526619829,-4.855347904,-8.061896036,-3.452640311,-4.309234053
030,1,1,00,New England,15116206,15074473,15121745,15129548,-41733,47272,7803,35417,139206,146423,46182,143894,149549,-10765,-4688,-3126,1560,26735,70412,-30001,23342,-56991,-28441,50077,13421,-2527,1883,-2492,9.2200950463,9.6804457251,9.5305975073,9.8871145772,-0.310502461,-0.206668852,1.7707515557,4.6551398646,1.5460214256,-3.767838948,3.3167729813,0.8873009164
030,1,2,00,Middle Atlantic,42492950,42374425,42137512,41910858,-118525,-236913,-226654,110703,433576,446799,146709,417037,414458,-36006,16539,32341,2869,53716,144052,-83327,-301816,-403745,-80458,-248100,-259693,-2061,-5352,698,10.260704355,10.631949198,9.8693040251,9.8623685385,0.3914003296,0.7695806593,1.271205037,3.4278356618,-7.142564961,-9.607443904,-5.871359924,-6.179608242
020,2,0,00,Midwest Region,68985537,68961043,68836505,68787595,-24494,-124538,-48910,190131,747700,759934,186324,761965,768572,3807,-14265,-8638,3070,55306,145268,-39524,-182263,-174049,-36454,-126957,-28781,8153,16684,-11491,10.852152464,11.043618087,11.059195335,11.169148427,-0.207042871,-0.12553034,0.802713848,2.1110837419,-2.645373632,-2.529338975,-1.842659784,-0.418255233
030,2,3,00,East North Central,47368637,47338744,47181948,47097779,-29893,-156796,-84169,127378,500167,508030,133459,529543,535923,-6081,-29376,-27893,1991,37015,98117,-31782,-175642,-146416,-29791,-138627,-48299,5979,11207,-7977,10.583227639,10.7770783,11.204805822,11.368785571,-0.621578183,-0.591707271,0.7832147484,2.0814018691,-3.716477234,-3.105991175,-2.933262486,-1.024589305
030,2,4,00,West North Central,21616900,21622299,21654557,21689816,5399,32258,35259,62753,247533,251904,52865,232422,232649,9888,15111,19255,1079,18291,47151,-7742,-6621,-27633,-6663,11670,19518,2174,5477,-3514,11.439509377,11.623377272,10.741168443,10.734911311,0.6983409331,0.8884659607,0.8453017012,2.1756457291,-0.305983411,-1.275044398,0.5393182906,0.9006013307
020,3,0,00,South Region,126266262,126450613,127346029,128716192,184351,895416,1370163,348206,1425940,1476296,314775,1403963,1406198,33431,21977,70098,8957,155222,414740,147114,722926,867935,156071,878148,1282675,-5151,-4709,17390,11.236870502,11.53075994,11.063684601,10.983252387,0.1731859005,0.5475075529,1.2231997932,3.2393689189,5.6968917658,6.7790945233,6.920091559,10.018463442
030,3,5,00,South Atlantic,66089861,66164801,66666348,67452940,74940,501547,786592,172099,699565,727568,168663,727277,738452,3436,-27712,-10884,6001,97735,260228,72783,437217,523687,78784,534952,783915,-7280,-5693,13561,10.53314686,10.8495655,10.950398389,11.011868778,-0.417251529,-0.162303277,1.471567486,3.8805455036,6.5830492816,7.8092719967,8.0546167676,11.6898175
030,3,6,00,East South Central,19402323,19422567,19474372,19578002,20244,51805,103630,54200,222808,227806,56664,258082,258921,-2464,-35274,-31115,517,7300,18741,22052,77441,114959,22569,84741,133700,139,2338,1045,11.456325651,11.666691505,13.270041635,13.260192581,-1.813715984,-1.593501076,0.3753508727,0.9597880016,3.9818557445,5.8874269718,4.3572066172,6.8472149734
