feat,importance,b,q_level
inc_trans_cs,215,0,0.025
season_week,231,0,0.025
log_pop,119,0,0.025
source_flusurvnet,18,0,0.025
source_ilinet,39,0,0.025
source_nhsn_city,9,0,0.025
state_city_AK,11,0,0.025
state_city_AL,3,0,0.025
state_city_AL_BIRMINGHAM,15,0,0.025
state_city_AL_HUNTSVILLE,2,0,0.025
state_city_AL_MOBILE,3,0,0.025
state_city_AL_MONTGOMERY,0,0,0.025
state_city_AL_TUSCALOOSA,0,0,0.025
state_city_AR,0,0,0.025
state_city_AR_FAYETTEVILLE,0,0,0.025
state_city_AR_LITTLE_ROCK,0,0,0.025
state_city_AZ,16,0,0.025
state_city_AZ_CHANDLER,1,0,0.025
state_city_AZ_GLENDALE,0,0,0.025
state_city_AZ_GOODYEAR,2,0,0.025
state_city_AZ_MESA,3,0,0.025
state_city_AZ_PHOENIX,0,0,0.025
state_city_AZ_SCOTTSDALE,0,0,0.025
state_city_AZ_TEMPE,0,0,0.025
state_city_AZ_TUCSON,13,0,0.025
state_city_AZ_YUMA,0,0,0.025
state_city_CA,0,0,0.025
state_city_CA_ANAHEIM,2,0,0.025
state_city_CA_ANTIOCH,0,0,0.025
state_city_CA_BAKERSFIELD,0,0,0.025
state_city_CA_BERKELEY,0,0,0.025
state_city_CA_BURBANK,1,0,0.025
state_city_CA_CHICO,0,0,0.025
state_city_CA_CHULA_VISTA,4,0,0.025
state_city_CA_CLOVIS,0,0,0.025
state_city_CA_CORONA,0,0,0.025
state_city_CA_COSTA_MESA,0,0,0.025
state_city_CA_DOWNEY,0,0,0.025
state_city_CA_FONTANA,0,0,0.025
state_city_CA_FREMONT,0,0,0.025
state_city_CA_FRESNO,0,0,0.025
state_city_CA_FULLERTON,0,0,0.025
state_city_CA_GARDEN_GROVE,2,0,0.025
state_city_CA_GLENDALE,0,0,0.025
state_city_CA_HUNTINGTON_BEACH,0,0,0.025
state_city_CA_INGLEWOOD,0,0,0.025
state_city_CA_IRVINE,0,0,0.025
state_city_CA_LANCASTER,0,0,0.025
state_city_CA_LONG_BEACH,0,0,0.025
state_city_CA_LOS_ANGELES,0,0,0.025
state_city_CA_MODESTO,0,0,0.025
state_city_CA_MORENO_VALLEY,0,0,0.025
state_city_CA_MURRIETA,0,0,0.025
state_city_CA_OAKLAND,9,0,0.025
