state_city,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
AZ_PHOENIX,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
CA_LOS_ANGELES,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
IL_CHICAGO,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
NY_ALBANY,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
NY_NEW_YORK,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
NY_ROCHESTER,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
PA_PHILADELPHIA,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
TX_AUSTIN,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
TX_DALLAS,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
TX_EL_PASO,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.9161627787348973
TX_HOUSTON,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
TX_SAN_ANTONIO,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.025,0.0
AZ_PHOENIX,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
CA_LOS_ANGELES,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
IL_CHICAGO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
NY_ALBANY,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
NY_NEW_YORK,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
NY_ROCHESTER,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
PA_PHILADELPHIA,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
TX_AUSTIN,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
TX_DALLAS,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
TX_EL_PASO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.9992930852612762
TX_HOUSTON,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
TX_SAN_ANTONIO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.025,0.0
AZ_PHOENIX,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
CA_LOS_ANGELES,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
IL_CHICAGO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
NY_ALBANY,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
NY_NEW_YORK,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
NY_ROCHESTER,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
PA_PHILADELPHIA,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
TX_AUSTIN,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
TX_DALLAS,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
TX_EL_PASO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.9973501444531788
TX_HOUSTON,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
TX_SAN_ANTONIO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.025,0.0
AZ_PHOENIX,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,19.019760717542383
CA_LOS_ANGELES,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,5.172353342938595
IL_CHICAGO,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,7.981580642469943
NY_ALBANY,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,18.99263403979684
NY_NEW_YORK,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,37.08463676658298
NY_ROCHESTER,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,0.0
PA_PHILADELPHIA,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,28.34171496750529
TX_AUSTIN,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,25.8137398263541
TX_DALLAS,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,14.201649708548088
TX_EL_PASO,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,32.39465696691117
TX_HOUSTON,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,68.67119684186484
TX_SAN_ANTONIO,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.5,4.277911996169378
AZ_PHOENIX,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,20.327987856677158
CA_LOS_ANGELES,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,8.385981420327287
IL_CHICAGO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,8.747130468487715
NY_ALBANY,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,22.306841516564024
NY_NEW_YORK,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,41.872938857606336
NY_ROCHESTER,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,0.0
PA_PHILADELPHIA,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,30.082273159517943
TX_AUSTIN,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,27.258060487333502
TX_DALLAS,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,14.845083896840691
TX_EL_PASO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,38.36297582535109
TX_HOUSTON,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,76.24792942140387
TX_SAN_ANTONIO,2023-09-30,0,2023-10-14,wk inc flu hosp,quantile,0.5,5.3665694104167425
AZ_PHOENIX,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,24.32052432921568
CA_LOS_ANGELES,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,11.376993565907853
IL_CHICAGO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,10.650928864508654
NY_ALBANY,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,22.859913297178945
NY_NEW_YORK,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,50.85508405031192
NY_ROCHESTER,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,0.0
PA_PHILADELPHIA,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,32.35937640392483
TX_AUSTIN,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,30.604753244131363
TX_DALLAS,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,16.178885330862357
TX_EL_PASO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,42.41377130398939
TX_HOUSTON,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,84.09369953240918
TX_SAN_ANTONIO,2023-09-30,1,2023-10-21,wk inc flu hosp,quantile,0.5,6.544427929555059
AZ_PHOENIX,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.975,61.51676501617552
CA_LOS_ANGELES,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.975,51.68849768317866
IL_CHICAGO,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.975,39.11278953992254
NY_ALBANY,2023-09-30,-1,2023-10-07,wk inc flu hosp,quantile,0.975,63.59264571193121
